l,C_l_GoE,C_l_LCDM,D_l_GoE,D_l_LCDM
279,4.567067674018841e-09,3.332954233418596e-09,5.6783193436404306e-05,4.143923376207672e-05
280,4.521867841161361e-09,3.3063368918427574e-09,5.662423505734222e-05,4.140297857408915e-05
281,4.477137438759378e-09,3.2798929315512142e-09,5.646456495828293e-05,4.1365209360449104e-05
282,4.4328702482358495e-09,3.2536213741366776e-09,5.630418740419281e-05,4.132593496608298e-05
283,4.3890601865333125e-09,3.2275212647287424e-09,5.6143107049376864e-05,4.128516451557908e-05
284,4.345701301238333e-09,3.2015916703444547e-09,5.598132891613237e-05,4.1242907399463954e-05
285,4.302787765921751e-09,3.1758316783285734e-09,5.581885837419527e-05,4.119917326085688e-05
286,4.260313875688359e-09,3.1502403948822184e-09,5.5655701121000993e-05,4.115397198253149e-05
287,4.218274042929816e-09,3.12481694367844e-09,5.549186316278119e-05,4.110731367441155e-05
288,4.176662793274538e-09,3.099560464563199e-09,5.5327350796513806e-05,4.105920866152651e-05
289,4.135474761728444e-09,3.074470112340086e-09,5.5162170592743665e-05,4.100966747245066e-05
290,4.094704689000404e-09,3.0495450556370743e-09,5.4996329379286846e-05,4.0958700828248086e-05
291,4.054347418006267e-09,3.024784475853397e-09,5.482983422583017e-05,4.09063196319428e-05
292,4.014397890545535e-09,3.0001875661847215e-09,5.4662692429436745e-05,4.085253495853381e-05
293,3.974851144144597e-09,2.9757535307245345e-09,5.44949115009632e-05,4.07973580455704e-05
294,3.935702309060658e-09,2.9514815836396983e-09,5.432649915239474e-05,4.074080028430308e-05
295,3.896946605440451e-09,2.9273709484180116e-09,5.415746328510031e-05,4.068287321142265e-05
